network_seed,framework,iteration,reward_mean,reward_std,reward_rolling,simulated_wall_time_s
101,eqmarl,0,-1.3333333333333333,1.8856180831641267,,1.4039908799999998
101,sctde,0,0.6666666666666666,2.0548046676563256,,0.5301568
101,eqmarl,1,-3.3333333333333335,1.8856180831641267,,2.8183848319999996
101,sctde,1,1.0,1.632993161855452,,1.0603136
101,eqmarl,2,-0.3333333333333333,0.9428090415820634,,4.2210752
101,sctde,2,2.3333333333333335,2.6246692913372702,,1.5904704
101,eqmarl,3,-1.3333333333333333,1.8856180831641267,,5.61356352
101,sctde,3,-0.3333333333333333,3.0912061651652345,,2.1206272
101,eqmarl,4,0.6666666666666666,1.247219128924647,,7.018352352
101,sctde,4,1.3333333333333333,1.247219128924647,,2.650784
101,eqmarl,5,0.3333333333333333,3.858612300930075,,8.396030432
101,sctde,5,0.6666666666666666,0.4714045207910317,,3.1809407999999997
101,eqmarl,6,-0.3333333333333333,0.4714045207910317,,9.821132064
101,sctde,6,0.0,2.160246899469287,,3.7110975999999996
101,eqmarl,7,2.0,3.265986323710904,,11.227924992
101,sctde,7,1.3333333333333333,2.0548046676563256,,4.2412544
101,eqmarl,8,1.0,2.160246899469287,,12.60930256
101,sctde,8,-1.6666666666666667,0.4714045207910317,,4.7714112
101,eqmarl,9,1.3333333333333333,1.247219128924647,-0.13333333333333328,14.010289344
101,sctde,9,-1.3333333333333333,0.4714045207910317,0.3999999999999999,5.3015680000000005
101,eqmarl,10,0.3333333333333333,1.247219128924647,0.03333333333333333,15.427785856
101,sctde,10,1.3333333333333333,2.357022603955158,0.46666666666666656,5.831724800000001
101,eqmarl,11,1.3333333333333333,4.4969125210773475,0.5,16.831879296
101,sctde,11,-2.3333333333333335,2.3570226039551585,0.13333333333333328,6.361881600000001
101,eqmarl,12,1.3333333333333333,1.699673171197595,0.6666666666666666,18.227364032
101,sctde,12,1.3333333333333333,2.6246692913372702,0.033333333333333326,6.8920384000000015
101,eqmarl,13,0.3333333333333333,0.4714045207910317,0.8333333333333333,19.671374880000002
101,sctde,13,-0.3333333333333333,1.247219128924647,0.03333333333333332,7.422195200000002
101,eqmarl,14,0.0,2.160246899469287,0.7666666666666666,21.0462504
101,sctde,14,0.0,0.816496580927726,-0.10000000000000003,7.952352000000002
101,eqmarl,15,-0.3333333333333333,1.699673171197595,0.7,22.448940768
101,sctde,15,-1.3333333333333333,2.0548046676563256,-0.30000000000000004,8.482508800000002
101,eqmarl,16,3.0,2.160246899469287,1.0333333333333332,23.859433184
101,sctde,16,2.6666666666666665,3.2998316455372216,-0.03333333333333338,9.012665600000002
101,eqmarl,17,0.0,1.632993161855452,0.8333333333333334,25.248917408
101,sctde,17,-1.0,0.816496580927726,-0.2666666666666667,9.542822400000002
101,eqmarl,18,2.3333333333333335,1.699673171197595,0.9666666666666668,26.638900096
101,sctde,18,-1.3333333333333333,0.4714045207910317,-0.2333333333333334,10.072979200000002
101,eqmarl,19,2.3333333333333335,2.8674417556808756,1.0666666666666669,28.035589952000002
101,sctde,19,-1.0,3.265986323710904,-0.20000000000000004,10.603136000000003
101,eqmarl,20,0.6666666666666666,1.699673171197595,1.1,29.430374688
101,sctde,20,-0.3333333333333333,0.9428090415820634,-0.3666666666666667,11.133292800000003
101,eqmarl,21,-2.3333333333333335,1.699673171197595,0.7333333333333334,30.814155328000002
101,sctde,21,-0.3333333333333333,1.699673171197595,-0.16666666666666666,11.663449600000003
101,eqmarl,22,0.6666666666666666,1.699673171197595,0.6666666666666667,32.24586208
101,sctde,22,1.3333333333333333,1.699673171197595,-0.16666666666666666,12.193606400000004
101,eqmarl,23,-1.0,0.816496580927726,0.5333333333333334,33.66656064
101,sctde,23,0.3333333333333333,1.699673171197595,-0.1,12.723763200000004
101,eqmarl,24,1.0,1.4142135623730951,0.6333333333333334,35.08065408
101,sctde,24,1.0,2.160246899469287,0.0,13.253920000000004
101,eqmarl,25,1.0,1.4142135623730951,0.7666666666666667,36.458932672
101,sctde,25,1.0,0.816496580927726,0.23333333333333334,13.784076800000005
101,eqmarl,26,1.6666666666666667,2.0548046676563256,0.6333333333333333,37.861322528
101,sctde,26,-3.0,0.0,-0.3333333333333334,14.314233600000005
101,eqmarl,27,1.6666666666666667,1.247219128924647,0.8,39.238700096
101,sctde,27,-2.6666666666666665,2.0548046676563256,-0.5,14.844390400000005
101,eqmarl,28,1.0,3.265986323710904,0.6666666666666666,40.622982784
101,sctde,28,-2.3333333333333335,2.3570226039551585,-0.6000000000000001,15.374547200000006
101,eqmarl,29,-1.0,1.4142135623730951,0.33333333333333337,42.040681344
101,sctde,29,-2.0,1.4142135623730951,-0.7,15.904704000000006
101,eqmarl,30,-0.3333333333333333,1.699673171197595,0.2333333333333334,43.418959936
101,sctde,30,0.3333333333333333,1.699673171197595,-0.6333333333333334,16.434860800000006
101,eqmarl,31,2.0,2.160246899469287,0.6666666666666667,44.820152352
101,sctde,31,-0.6666666666666666,0.4714045207910317,-0.6666666666666666,16.965017600000007
101,eqmarl,32,-1.3333333333333333,0.4714045207910317,0.4666666666666668,46.218340672000004
101,sctde,32,-1.3333333333333333,1.247219128924647,-0.9333333333333335,17.495174400000007
101,eqmarl,33,0.6666666666666666,2.6246692913372702,0.6333333333333335,47.604121312000004
101,sctde,33,0.6666666666666666,2.0548046676563256,-0.9,18.025331200000007
101,eqmarl,34,0.6666666666666666,0.4714045207910317,0.6000000000000001,48.96688966400001
101,sctde,34,-1.0,2.160246899469287,-1.1000000000000003,18.555488000000008
101,eqmarl,35,2.0,0.816496580927726,0.7,50.36457542400001
101,sctde,35,1.3333333333333333,2.6246692913372702,-1.0666666666666669,19.085644800000008
101,eqmarl,36,2.6666666666666665,1.699673171197595,0.8,51.79427756800001
101,sctde,36,0.0,1.4142135623730951,-0.7666666666666666,19.615801600000008
101,eqmarl,37,0.0,0.816496580927726,0.6333333333333333,53.19276640000001
101,sctde,37,2.0,2.160246899469287,-0.3,20.14595840000001
101,eqmarl,38,-1.0,1.4142135623730951,0.43333333333333346,54.58945625600001
101,sctde,38,1.6666666666666667,1.699673171197595,0.09999999999999998,20.67611520000001
101,eqmarl,39,0.6666666666666666,1.8856180831641267,0.6,56.00845481600001
101,sctde,39,0.0,1.632993161855452,0.30000000000000004,21.20627200000001
101,eqmarl,40,-0.3333333333333333,0.4714045207910317,0.6000000000000001,57.41594723200001
101,sctde,40,-2.3333333333333335,2.0548046676563256,0.0333333333333333,21.73642880000001
101,eqmarl,41,-0.6666666666666666,1.699673171197595,0.33333333333333337,58.80183094400001
101,sctde,41,-2.6666666666666665,1.247219128924647,-0.16666666666666666,22.26658560000001
101,eqmarl,42,0.3333333333333333,2.0548046676563256,0.5000000000000001,60.19621670400001
101,sctde,42,1.0,2.160246899469287,0.06666666666666665,22.79674240000001
101,eqmarl,43,-0.3333333333333333,0.4714045207910317,0.4,61.57359427200001
101,sctde,43,0.0,2.160246899469287,0.0,23.32689920000001
101,eqmarl,44,2.3333333333333335,0.4714045207910317,0.5666666666666668,62.95257286400001
101,sctde,44,-1.3333333333333333,1.699673171197595,-0.03333333333333338,23.85705600000001
101,eqmarl,45,-0.3333333333333333,1.247219128924647,0.33333333333333337,64.37197091200001
101,sctde,45,1.3333333333333333,2.494438257849294,-0.033333333333333326,24.38721280000001
101,eqmarl,46,1.3333333333333333,1.8856180831641267,0.2,65.76285462400001
101,sctde,46,-0.6666666666666666,2.0548046676563256,-0.09999999999999999,24.91736960000001
101,eqmarl,47,1.3333333333333333,0.4714045207910317,0.33333333333333337,67.18135113600002
101,sctde,47,2.3333333333333335,2.8674417556808756,-0.06666666666666668,25.44752640000001
101,eqmarl,48,4.0,0.816496580927726,0.8333333333333334,68.58334150400002
101,sctde,48,-1.6666666666666667,1.699673171197595,-0.4,25.977683200000012
101,eqmarl,49,0.6666666666666666,0.4714045207910317,0.8333333333333334,69.98833187200002
101,sctde,49,0.6666666666666666,1.247219128924647,-0.33333333333333337,26.507840000000012
101,eqmarl,50,0.6666666666666666,0.9428090415820634,0.9333333333333333,71.38902172800002
101,sctde,50,-2.3333333333333335,1.699673171197595,-0.33333333333333337,27.037996800000013
101,eqmarl,51,2.0,2.8284271247461903,1.2,72.74869161600002
101,sctde,51,1.6666666666666667,2.0548046676563256,0.1,27.568153600000013
101,eqmarl,52,-2.0,1.632993161855452,0.9666666666666668,74.14927891200001
101,sctde,52,-0.3333333333333333,0.9428090415820634,-0.03333333333333333,28.098310400000013
101,eqmarl,53,1.0,1.632993161855452,1.1,75.55767286400001
101,sctde,53,-1.6666666666666667,0.9428090415820634,-0.2,28.628467200000014
101,eqmarl,54,0.0,1.632993161855452,0.8666666666666666,76.94505452800001
101,sctde,54,0.6666666666666666,1.247219128924647,-1.3877787807814457e-17,29.158624000000014
101,eqmarl,55,0.6666666666666666,0.4714045207910317,0.9666666666666667,78.31142800000002
101,sctde,55,2.3333333333333335,1.247219128924647,0.1,29.688780800000014
101,eqmarl,56,0.6666666666666666,0.9428090415820634,0.9,79.67280147200002
101,sctde,56,-0.6666666666666666,0.4714045207910317,0.10000000000000002,30.218937600000014
101,eqmarl,57,1.0,1.4142135623730951,0.8666666666666667,81.07659030400002
101,sctde,57,-1.0,0.816496580927726,-0.23333333333333336,30.749094400000015
101,eqmarl,58,3.0,0.816496580927726,0.7666666666666667,82.46967555200003
101,sctde,58,0.0,0.0,-0.06666666666666667,31.279251200000015
101,eqmarl,59,-1.0,2.943920288775949,0.6000000000000001,83.87066592000002
101,sctde,59,-1.3333333333333333,2.494438257849294,-0.2666666666666667,31.809408000000015
101,eqmarl,60,2.3333333333333335,1.8856180831641267,0.7666666666666668,85.23603939200002
101,sctde,60,2.6666666666666665,1.247219128924647,0.2333333333333334,32.33956480000001
101,eqmarl,61,0.3333333333333333,2.494438257849294,0.6000000000000001,86.63242515200002
101,sctde,61,0.0,1.632993161855452,0.06666666666666665,32.86972160000001
101,eqmarl,62,2.6666666666666665,0.4714045207910317,1.0666666666666669,88.04061756800003
101,sctde,62,-1.3333333333333333,0.9428090415820634,-0.0333333333333333,33.39987840000001
101,eqmarl,63,2.6666666666666665,1.247219128924647,1.2333333333333334,89.42759974400003
101,sctde,63,-0.3333333333333333,1.247219128924647,0.10000000000000006,33.93003520000001
101,eqmarl,64,0.0,1.632993161855452,1.2333333333333334,90.85210035200004
101,sctde,64,-0.3333333333333333,1.8856180831641267,1.3877787807814457e-17,34.46019200000001
101,eqmarl,65,0.6666666666666666,2.0548046676563256,1.2333333333333334,92.24618560000003
101,sctde,65,1.6666666666666667,3.39934634239519,-0.06666666666666668,34.990348800000014
101,eqmarl,66,2.6666666666666665,0.9428090415820634,1.4333333333333333,93.63276880000004
101,sctde,66,0.0,1.4142135623730951,2.7755575615628914e-17,35.520505600000014
101,eqmarl,67,0.3333333333333333,3.0912061651652345,1.3666666666666667,95.01484995200003
101,sctde,67,0.6666666666666666,1.247219128924647,0.16666666666666669,36.050662400000014
101,eqmarl,68,0.0,2.8284271247461903,1.0666666666666667,96.41814083200003
101,sctde,68,2.0,2.160246899469287,0.3666666666666667,36.580819200000015
101,eqmarl,69,1.0,0.816496580927726,1.2666666666666668,97.83393785600003
101,sctde,69,1.0,2.160246899469287,0.6,37.110976000000015
101,eqmarl,70,2.3333333333333335,0.4714045207910317,1.2666666666666666,99.21001491200003
101,sctde,70,3.6666666666666665,2.8674417556808756,0.7000000000000001,37.641132800000015
101,eqmarl,71,1.0,0.0,1.3333333333333335,100.58729350400003
101,sctde,71,1.6666666666666667,0.4714045207910317,0.8666666666666667,38.171289600000016
101,eqmarl,72,2.0,2.160246899469287,1.2666666666666666,101.96957209600004
101,sctde,72,0.3333333333333333,1.699673171197595,1.0333333333333334,38.701446400000016
101,eqmarl,73,1.0,1.632993161855452,1.1,103.39527424000003
101,sctde,73,0.6666666666666666,2.0548046676563256,1.1333333333333335,39.231603200000016
101,eqmarl,74,0.6666666666666666,0.4714045207910317,1.1666666666666667,104.79316204800003
101,sctde,74,0.3333333333333333,1.247219128924647,1.2000000000000002,39.76176000000002
101,eqmarl,75,1.0,2.160246899469287,1.2000000000000002,106.19555190400003
101,sctde,75,-0.6666666666666666,1.8856180831641267,0.966666666666667,40.29191680000002
101,eqmarl,76,2.3333333333333335,1.699673171197595,1.1666666666666667,107.58993766400003
101,sctde,76,0.3333333333333333,1.247219128924647,1.0000000000000004,40.82207360000002
101,eqmarl,77,0.6666666666666666,0.9428090415820634,1.2,108.97592035200003
101,sctde,77,1.0,0.816496580927726,1.0333333333333334,41.35223040000002
101,eqmarl,78,0.0,1.632993161855452,1.2,110.38411686400003
101,sctde,78,0.3333333333333333,3.0912061651652345,0.8666666666666666,41.88238720000002
101,eqmarl,79,3.0,0.816496580927726,1.4000000000000001,111.80521849600004
101,sctde,79,-2.6666666666666665,1.247219128924647,0.5,42.41254400000002
101,eqmarl,80,3.0,0.816496580927726,1.4666666666666668,113.20050528000004
101,sctde,80,0.0,0.816496580927726,0.13333333333333336,42.94270080000002
101,eqmarl,81,0.0,0.816496580927726,1.366666666666667,114.59429001600004
101,sctde,81,2.3333333333333335,0.4714045207910317,0.20000000000000004,43.47285760000002
101,eqmarl,82,1.0,2.943920288775949,1.266666666666667,116.01219011200004
101,sctde,82,0.3333333333333333,2.6246692913372702,0.20000000000000004,44.00301440000002
101,eqmarl,83,2.0,1.632993161855452,1.366666666666667,117.41048099200005
101,sctde,83,-2.0,0.816496580927726,-0.06666666666666665,44.53317120000002
101,eqmarl,84,3.0,1.632993161855452,1.6,118.80736880000005
101,sctde,84,0.6666666666666666,0.4714045207910317,-0.03333333333333331,45.06332800000002
101,eqmarl,85,1.3333333333333333,1.247219128924647,1.6333333333333335,120.20405507200005
101,sctde,85,2.6666666666666665,1.247219128924647,0.3,45.59348480000002
101,eqmarl,86,1.0,1.4142135623730951,1.5000000000000002,121.58463417600005
101,sctde,86,-0.3333333333333333,2.0548046676563256,0.23333333333333334,46.12364160000002
101,eqmarl,87,3.3333333333333335,1.8856180831641267,1.766666666666667,122.96871532800004
101,sctde,87,-2.6666666666666665,3.2998316455372216,-0.1333333333333333,46.65379840000002
101,eqmarl,88,2.3333333333333335,1.247219128924647,2.0000000000000004,124.37080876800005
101,sctde,88,0.6666666666666666,1.247219128924647,-0.09999999999999996,47.18395520000002
101,eqmarl,89,3.3333333333333335,1.699673171197595,2.0333333333333337,125.76729708800005
101,sctde,89,-1.0,0.0,0.06666666666666668,47.71411200000002
101,eqmarl,90,3.3333333333333335,3.681787005729087,2.066666666666667,127.17138643200005
101,sctde,90,1.6666666666666667,2.0548046676563256,0.23333333333333336,48.24426880000002
101,eqmarl,91,2.6666666666666665,0.9428090415820634,2.3333333333333335,128.58258294400005
101,sctde,91,-0.3333333333333333,1.247219128924647,-0.03333333333333333,48.77442560000002
101,eqmarl,92,3.0,1.4142135623730951,2.533333333333333,130.01528918400004
101,sctde,92,-1.3333333333333333,2.8674417556808756,-0.19999999999999998,49.30458240000002
101,eqmarl,93,-1.0,1.632993161855452,2.233333333333334,131.39736624000005
101,sctde,93,0.3333333333333333,0.4714045207910317,0.03333333333333336,49.83473920000002
101,eqmarl,94,1.0,2.160246899469287,2.033333333333333,132.78424995200007
101,sctde,94,1.6666666666666667,1.699673171197595,0.13333333333333336,50.36489600000002
101,eqmarl,95,2.0,1.4142135623730951,2.1,134.18123673600007
101,sctde,95,2.0,1.632993161855452,0.06666666666666665,50.89505280000002
101,eqmarl,96,1.6666666666666667,2.494438257849294,2.1666666666666665,135.58693120000007
101,sctde,96,0.3333333333333333,2.8674417556808756,0.1333333333333333,51.425209600000024
101,eqmarl,97,3.6666666666666665,1.699673171197595,2.2,136.97481081600006
101,sctde,97,-1.3333333333333333,1.247219128924647,0.2666666666666667,51.955366400000024
101,eqmarl,98,2.0,2.160246899469287,2.166666666666667,138.35838992000006
101,sctde,98,0.3333333333333333,1.247219128924647,0.23333333333333336,52.485523200000024
101,eqmarl,99,1.3333333333333333,2.357022603955158,1.9666666666666668,139.76468080000006
101,sctde,99,-0.6666666666666666,1.247219128924647,0.2666666666666667,53.015680000000025
101,eqmarl,100,4.0,4.08248290463863,2.033333333333333,141.15846553600005
101,sctde,100,0.6666666666666666,3.0912061651652345,0.1666666666666667,53.545836800000025
101,eqmarl,101,2.6666666666666665,3.091206165165235,2.033333333333333,142.54925027200005
101,sctde,101,2.6666666666666665,0.9428090415820634,0.4666666666666667,54.075993600000025
101,eqmarl,102,2.0,1.632993161855452,1.9333333333333333,143.95024064000006
101,sctde,102,1.0,1.4142135623730951,0.7000000000000001,54.606150400000026
101,eqmarl,103,2.6666666666666665,1.8856180831641267,2.3000000000000003,145.34812844800007
101,sctde,103,0.3333333333333333,2.0548046676563256,0.7,55.136307200000026
101,eqmarl,104,-0.6666666666666666,2.8674417556808756,2.1333333333333333,146.73401216000008
101,sctde,104,1.0,2.943920288775949,0.6333333333333333,55.666464000000026
101,eqmarl,105,1.0,2.943920288775949,2.033333333333333,148.15491225600007
101,sctde,105,0.3333333333333333,0.4714045207910317,0.46666666666666656,56.19662080000003
101,eqmarl,106,2.6666666666666665,1.699673171197595,2.1333333333333333,149.56120313600007
101,sctde,106,-1.6666666666666667,3.0912061651652345,0.26666666666666655,56.72677760000003
101,eqmarl,107,3.3333333333333335,2.494438257849294,2.1,150.93578224000007
101,sctde,107,0.3333333333333333,3.6817870057290873,0.4333333333333333,57.25693440000003
101,eqmarl,108,2.6666666666666665,0.4714045207910317,2.1666666666666665,152.31626288000007
101,sctde,108,1.6666666666666667,1.247219128924647,0.5666666666666667,57.78709120000003
101,eqmarl,109,1.0,2.160246899469287,2.1333333333333333,153.70024505600006
101,sctde,109,3.0,4.898979485566356,0.9333333333333333,58.31724800000003
101,eqmarl,110,1.3333333333333333,2.357022603955158,1.8666666666666667,155.07392313600005
101,sctde,110,0.0,2.160246899469287,0.8666666666666667,58.84740480000003
101,eqmarl,111,2.6666666666666665,2.494438257849294,1.8666666666666667,156.46210684800005
101,sctde,111,2.6666666666666665,1.247219128924647,0.8666666666666667,59.37756160000003
101,eqmarl,112,3.3333333333333335,2.494438257849294,2.0,157.85639363200005
101,sctde,112,-0.6666666666666666,0.9428090415820634,0.7,59.90771840000003
101,eqmarl,113,1.3333333333333333,1.8856180831641267,1.8666666666666667,159.25068041600005
101,sctde,113,0.6666666666666666,1.8856180831641267,0.7333333333333334,60.43787520000003
101,eqmarl,114,3.0,2.449489742783178,2.2333333333333334,160.65417283200006
101,sctde,114,-0.3333333333333333,2.3570226039551585,0.6,60.96803200000003
101,eqmarl,115,2.0,1.4142135623730951,2.333333333333334,162.06406883200006
101,sctde,115,-0.6666666666666666,2.494438257849294,0.5000000000000001,61.49818880000003
101,eqmarl,116,3.3333333333333335,3.39934634239519,2.4000000000000004,163.45805510400007
101,sctde,116,2.0,2.8284271247461903,0.8666666666666667,62.02834560000003
