framework,iteration,reward_mean,reward_std,reward_rolling
eqmarl,58,1.1,2.3,0.7299999999999999
eqmarl,59,0.0,2.449489742783178,0.7199999999999999
eqmarl,60,1.7,2.051828452868319,0.8300000000000001
eqmarl,61,1.9,2.8792360097775935,0.9100000000000001
eqmarl,62,1.0,2.280350850198276,0.92
eqmarl,63,2.7,2.147091055358389,1.1
eqmarl,64,1.2,1.7776388834631178,1.2400000000000002
eqmarl,65,1.1,1.57797338380595,1.2100000000000002
eqmarl,66,0.8,1.5362291495737217,1.2200000000000002
eqmarl,67,0.9,2.118962010041709,1.2400000000000002
eqmarl,68,1.1,2.8442925306655784,1.2400000000000002
eqmarl,69,1.4,1.562049935181331,1.3800000000000001
eqmarl,70,1.4,2.576819745345025,1.3499999999999999
eqmarl,71,1.3,0.45825756949558405,1.2899999999999996
eqmarl,72,1.1,3.014962686336267,1.3
eqmarl,73,2.0,2.7202941017470885,1.2300000000000002
eqmarl,74,1.3,2.193171219946131,1.2400000000000002
eqmarl,75,0.4,1.9078784028338913,1.17
eqmarl,76,1.0,1.6733200530681511,1.19
eqmarl,77,0.5,1.5,1.1500000000000001
eqmarl,78,1.8,2.4413111231467406,1.22
eqmarl,79,2.1,1.57797338380595,1.29
eqmarl,80,1.3,2.2825424421026654,1.2800000000000002
eqmarl,81,1.6,2.0591260281974,1.3100000000000005
eqmarl,82,0.9,1.9723082923316022,1.2900000000000003
eqmarl,83,1.6,2.244994432064365,1.25
eqmarl,84,2.1,2.7,1.33
eqmarl,85,2.4,2.1999999999999997,1.53
eqmarl,86,0.3,2.3685438564654024,1.4600000000000002
eqmarl,87,2.6,1.9595917942265424,1.6700000000000002
eqmarl,88,1.9,2.0223748416156684,1.68
eqmarl,89,2.7,2.6476404589747453,1.74
eqmarl,90,2.1,3.2388269481403293,1.82
eqmarl,91,1.4,2.4576411454889016,1.8
eqmarl,92,2.3,2.147091055358389,1.94
eqmarl,93,-0.1,2.0712315177207983,1.7699999999999998
eqmarl,94,1.7,2.3685438564654024,1.7299999999999998
eqmarl,95,1.7,1.4177446878757824,1.6599999999999997
eqmarl,96,1.2,2.039607805437114,1.7499999999999996
eqmarl,97,2.3,2.968164415931166,1.7199999999999998
eqmarl,98,1.4,2.33238075793812,1.6699999999999997
eqmarl,99,1.1,1.9209372712298547,1.51
eqmarl,100,2.8,3.2186953878862163,1.58
eqmarl,101,1.7,2.4919871588754225,1.61
eqmarl,102,1.3,1.7916472867168918,1.5099999999999998
eqmarl,103,2.7,3.1,1.79
eqmarl,104,0.6,2.615339366124404,1.6800000000000002
eqmarl,105,1.5,2.247220505424423,1.6599999999999997
eqmarl,106,1.9,1.445683229480096,1.73
eqmarl,107,2.2,2.4000000000000004,1.72
eqmarl,108,2.2,1.6,1.7999999999999998
eqmarl,109,2.3,2.6851443164195103,1.92
eqmarl,110,2.4,1.9078784028338915,1.8800000000000001
eqmarl,111,0.9,2.2561028345356955,1.8
eqmarl,112,1.9,3.3896902513356584,1.86
eqmarl,113,2.5,2.1095023109728985,1.84
eqmarl,114,1.6,2.154065922853802,1.94
eqmarl,115,1.0,1.4832396974191326,1.8900000000000001
eqmarl,116,1.5,2.4186773244895647,1.85
eqmarl,117,1.8,2.3579652245103193,1.8099999999999998
eqmarl,118,2.2,1.98997487421324,1.81
eqmarl,119,2.5,2.7658633371878665,1.83
eqmarl,120,2.1,2.7730849247724096,1.8
eqmarl,121,0.7,1.3453624047073711,1.78
eqmarl,122,2.2,2.3151673805580453,1.81
eqmarl,123,2.1,1.3,1.77
eqmarl,124,2.8,2.181742422927143,1.8900000000000001
eqmarl,125,2.7,2.5317977802344322,2.06
eqmarl,126,3.5,2.6172504656604803,2.2600000000000002
eqmarl,127,0.9,2.3430749027719964,2.17
eqmarl,128,1.0,1.61245154965971,2.0500000000000003
eqmarl,129,2.6,2.0099751242241783,2.0600000000000005
eqmarl,130,2.5,1.4317821063276353,2.1000000000000005
eqmarl,131,2.2,2.4,2.2500000000000004
eqmarl,132,2.7,2.0518284528683193,2.3000000000000003
eqmarl,133,2.3,2.451530134426253,2.32
eqmarl,134,1.9,1.374772708486752,2.23
eqmarl,135,1.7,2.4919871588754225,2.13
eqmarl,136,4.8,3.340658617698013,2.26
eqmarl,137,2.9,3.419064199455751,2.46
eqmarl,138,2.1,2.6627053911388696,2.57
eqmarl,139,3.9,2.3853720883753127,2.6999999999999997
eqmarl,140,2.7,1.9000000000000001,2.72
eqmarl,141,3.3,1.4866068747318506,2.83
eqmarl,142,3.5,3.0413812651491097,2.91
eqmarl,143,2.9,2.981610303175115,2.97
eqmarl,144,2.3,1.7916472867168918,3.0100000000000002
eqmarl,145,3.3,1.8466185312619385,3.1700000000000004
eqmarl,146,1.9,3.1448370387032774,2.8800000000000003
eqmarl,147,3.1,2.3,2.9000000000000004
eqmarl,148,3.8,2.2715633383201093,3.07
eqmarl,149,2.9,1.6401219466856727,2.97
eqmarl,150,2.6,3.006659275674582,2.96
eqmarl,151,2.8,2.3579652245103193,2.9099999999999997
eqmarl,152,3.1,3.3,2.87
eqmarl,153,3.3,3.0016662039607267,2.91
eqmarl,154,2.3,2.0518284528683193,2.91
eqmarl,155,3.5,3.263433774416144,2.93
eqmarl,156,2.6,2.1999999999999997,3.0
eqmarl,157,2.9,3.9102429592034307,2.9800000000000004
eqmarl,158,4.0,4.049691346263317,3.0000000000000004
eqmarl,159,3.5,3.1064449134018135,3.0600000000000005
eqmarl,160,3.2,2.2715633383201093,3.12
eqmarl,161,3.4,2.9393876913398134,3.1800000000000006
eqmarl,162,4.3,5.831809324729333,3.3000000000000003
eqmarl,163,3.1,2.808914381037628,3.2800000000000002
eqmarl,164,3.3,3.4365680554879163,3.380000000000001
eqmarl,165,3.3,2.451530134426253,3.3600000000000003
eqmarl,166,4.8,3.9949968710876362,3.5800000000000005
eqmarl,167,2.1,3.176476034853718,3.5000000000000004
eqmarl,168,3.8,2.785677655436824,3.48
eqmarl,169,4.1,2.0223748416156684,3.54
eqmarl,170,3.1,2.256102834535696,3.5300000000000002
eqmarl,171,2.6,3.2924155266308657,3.45
eqmarl,172,1.8,3.3105890714493698,3.2000000000000006
eqmarl,173,3.5,1.91049731745428,3.24
eqmarl,174,4.5,3.6945906403822333,3.3600000000000003
eqmarl,175,2.9,2.5865034312755126,3.3200000000000003
eqmarl,176,3.2,4.707440918375928,3.16
eqmarl,177,2.6,2.009975124224178,3.21
eqmarl,178,3.8,3.4,3.21
eqmarl,179,3.5,2.9068883707497264,3.15
eqmarl,180,5.0,3.286335345030997,3.3400000000000003
eqmarl,181,4.3,3.2878564445547194,3.5100000000000002
eqmarl,182,3.5,1.5652475842498528,3.6800000000000006
eqmarl,183,3.8,2.821347195933177,3.7100000000000004
eqmarl,184,4.5,4.129164564412516,3.7100000000000004
eqmarl,185,3.9,3.0479501308256336,3.8100000000000005
eqmarl,186,3.4,2.8354893757515653,3.83
eqmarl,187,5.3,4.8999999999999995,4.1
eqmarl,188,6.3,5.348831648126533,4.3500000000000005
eqmarl,189,3.1,2.2113344387495983,4.3100000000000005
eqmarl,190,5.2,3.9191835884530852,4.33
eqmarl,191,4.3,2.3259406699226015,4.33
eqmarl,192,4.9,5.337602458033007,4.470000000000001
eqmarl,193,5.1,3.505709628591621,4.6000000000000005
eqmarl,194,3.6,2.4166091947189146,4.510000000000001
eqmarl,195,4.1,2.913760456866693,4.530000000000001
eqmarl,196,4.3,4.050925820105818,4.62
eqmarl,197,4.5,5.044799302251775,4.54
eqmarl,198,4.2,4.044749683231338,4.33
eqmarl,199,4.8,3.1559467676119,4.5
eqmarl,200,2.8,2.6758176320519302,4.260000000000001
eqmarl,201,4.5,4.006245124802026,4.28
eqmarl,202,4.1,2.467792535850613,4.2
eqmarl,203,6.1,3.8587562763149474,4.3
eqmarl,204,3.4,4.6946778377222005,4.28
eqmarl,205,4.6,3.411744421846396,4.33
eqmarl,206,4.2,3.8157568056677826,4.32
eqmarl,207,6.4,3.9038442591886273,4.51
eqmarl,208,4.2,1.8867962264113207,4.51
eqmarl,209,4.1,2.5865034312755126,4.44
eqmarl,210,4.9,3.0479501308256345,4.65
eqmarl,211,4.4,3.7202150475476548,4.640000000000001
eqmarl,212,5.5,4.410215414239989,4.78
eqmarl,213,5.3,3.3778691508109073,4.700000000000001
eqmarl,214,5.2,3.4292856398964497,4.880000000000001
eqmarl,215,5.9,3.726929030716845,5.01
eqmarl,216,4.3,3.407345007480164,5.02
eqmarl,217,3.3,3.0347981810987035,4.710000000000001
eqmarl,218,4.7,2.4103941586387903,4.76
eqmarl,219,7.3,4.172529209005013,5.08
eqmarl,220,5.0,3.1304951684997055,5.09
eqmarl,221,4.3,3.2878564445547194,5.08
eqmarl,222,7.1,4.5265881191025095,5.24
eqmarl,223,6.2,2.4819347291981715,5.33
eqmarl,224,6.1,5.262128846769147,5.42
eqmarl,225,7.3,5.119570294468081,5.5600000000000005
eqmarl,226,6.9,5.374941860150675,5.820000000000001
eqmarl,227,6.9,3.419064199455752,6.1800000000000015
eqmarl,228,5.8,3.1240998703626612,6.290000000000001
eqmarl,229,4.7,4.050925820105819,6.03
eqmarl,230,7.0,4.404543109109048,6.23
eqmarl,231,5.9,4.346262762420147,6.39
eqmarl,232,7.5,4.863126566315131,6.43
eqmarl,233,5.8,4.578209256903839,6.39
eqmarl,234,7.7,4.817675788178361,6.550000000000001
eqmarl,235,6.2,3.944616584663205,6.44
eqmarl,236,5.9,5.61159513863928,6.340000000000001
eqmarl,237,5.4,3.0724582991474434,6.1899999999999995
eqmarl,238,6.1,3.8587562763149474,6.220000000000001
eqmarl,239,6.0,4.171330722922842,6.35
eqmarl,240,5.7,3.63455636907725,6.220000000000001
eqmarl,241,7.7,3.9000000000000004,6.4
eqmarl,242,5.3,3.0675723300355937,6.180000000000001
eqmarl,243,9.9,5.503635162326806,6.590000000000001
eqmarl,244,5.8,5.075431016179808,6.400000000000001
eqmarl,245,6.2,3.8418745424597094,6.4
eqmarl,246,8.4,2.9393876913398134,6.65
eqmarl,247,6.2,4.935585071701227,6.73
eqmarl,248,6.5,4.006245124802026,6.7700000000000005
eqmarl,249,6.1,3.7802116342871597,6.780000000000001
eqmarl,250,6.4,4.1036569057366385,6.850000000000001
eqmarl,251,7.4,3.1685959035509716,6.820000000000002
eqmarl,252,8.4,4.5431266766402185,7.130000000000001
eqmarl,253,3.7,2.6476404589747453,6.510000000000001
eqmarl,254,7.9,2.8792360097775935,6.72
eqmarl,255,7.7,3.551056180912941,6.870000000000001
eqmarl,256,6.5,4.295346318982906,6.6800000000000015
eqmarl,257,5.9,4.459820624195552,6.65
eqmarl,258,7.3,3.579106033634656,6.73
eqmarl,259,8.3,4.712748667179271,6.950000000000001
eqmarl,260,7.0,4.404543109109048,7.010000000000001
eqmarl,261,7.5,3.8275318418009276,7.0200000000000005
eqmarl,262,7.5,4.631414470763764,6.930000000000001
eqmarl,263,9.5,3.556683848755748,7.51
eqmarl,264,8.5,4.631414470763764,7.57
eqmarl,265,7.5,4.153311931459037,7.550000000000001
eqmarl,266,9.0,4.381780460041329,7.800000000000001
eqmarl,267,10.3,4.172529209005013,8.24
eqmarl,268,9.7,4.539823785126467,8.48
eqmarl,269,9.3,4.196427051671457,8.58
eqmarl,270,9.0,5.2345009313209605,8.780000000000001
eqmarl,271,8.3,3.55105618091294,8.860000000000001
eqmarl,272,7.7,3.5791060336346563,8.88
eqmarl,273,8.1,4.948737212663449,8.74
eqmarl,274,9.9,4.4821869662029945,8.88
eqmarl,275,8.9,3.986226285598949,9.020000000000001
eqmarl,276,8.2,5.2687759489277965,8.940000000000001
eqmarl,277,10.3,5.367494760127857,8.940000000000001
eqmarl,278,6.7,3.9000000000000004,8.640000000000002
eqmarl,279,8.4,4.476605857119878,8.55
eqmarl,280,8.8,5.635601121442148,8.530000000000001
eqmarl,281,10.5,4.080441152620633,8.75
eqmarl,282,8.6,5.902541825349483,8.84
eqmarl,283,9.3,3.9255572852781047,8.959999999999999
eqmarl,284,10.3,5.532630477449222,9.0
eqmarl,285,10.2,5.325410782277739,9.129999999999999
eqmarl,286,7.5,4.031128874149275,9.06
eqmarl,287,9.1,5.243090691567332,8.940000000000001
eqmarl,288,9.3,4.172529209005013,9.200000000000001
eqmarl,289,9.3,5.197114584074513,9.29
eqmarl,290,9.2,5.173006862551025,9.33
eqmarl,291,8.7,4.539823785126467,9.149999999999999
eqmarl,292,6.5,4.05585995813465,8.94
eqmarl,293,11.1,3.858756276314947,9.12
eqmarl,294,10.7,4.980963762164908,9.160000000000002
eqmarl,295,9.5,4.738143096192854,9.09
eqmarl,296,11.4,3.3226495451672298,9.480000000000002
eqmarl,297,10.7,6.132699242584786,9.640000000000002
eqmarl,298,10.4,5.571355310873647,9.75
eqmarl,299,12.8,5.1536394906900505,10.100000000000001
eqmarl,300,11.5,3.3541019662496847,10.330000000000002
eqmarl,301,12.2,6.289674077406556,10.680000000000001
eqmarl,302,9.1,3.2388269481403293,10.940000000000001
eqmarl,303,10.6,5.257375771237966,10.890000000000002
eqmarl,304,10.4,6.829348431585549,10.86
eqmarl,305,8.8,6.079473661428266,10.790000000000001
eqmarl,306,9.9,3.8845849199110063,10.64
eqmarl,307,10.2,4.354308211415448,10.59
eqmarl,308,10.0,4.404543109109048,10.55
eqmarl,309,10.0,4.58257569495584,10.27
eqmarl,310,9.7,3.2878564445547194,10.090000000000002
eqmarl,311,10.6,5.332916650389354,9.930000000000001
eqmarl,312,11.5,6.606814663663572,10.17
eqmarl,313,11.2,4.955804677345546,10.229999999999999
eqmarl,314,11.3,5.197114584074513,10.32
eqmarl,315,11.6,3.32264954516723,10.6
eqmarl,316,12.6,4.1036569057366385,10.870000000000001
eqmarl,317,11.8,4.621688003316538,11.03
eqmarl,318,13.0,3.4641016151377544,11.330000000000002
eqmarl,319,10.9,4.867237409455183,11.420000000000002
eqmarl,320,12.2,3.249615361854384,11.670000000000002
eqmarl,321,12.1,4.346262762420146,11.82
eqmarl,322,11.1,5.107837115648853,11.780000000000001
eqmarl,323,11.3,4.495553358597805,11.790000000000001
eqmarl,324,13.3,3.551056180912941,11.99
eqmarl,325,11.2,5.455272678794342,11.95
eqmarl,326,11.8,5.344155686354955,11.87
eqmarl,327,10.7,5.404627646748664,11.76
eqmarl,328,11.8,3.919183588453085,11.639999999999999
eqmarl,329,12.8,5.455272678794342,11.830000000000002
eqmarl,330,13.9,3.0149626863362675,12.0
eqmarl,331,12.0,4.898979485566356,11.990000000000002
eqmarl,332,11.1,4.1340053217188775,11.989999999999998
eqmarl,333,11.9,3.6728735344413916,12.049999999999999
eqmarl,334,13.1,5.430469592954186,12.030000000000001
eqmarl,335,11.1,5.08822169328342,12.020000000000001
eqmarl,336,13.6,2.90516780926679,12.2
eqmarl,337,13.3,5.040833264451424,12.46
eqmarl,338,12.4,4.521061822182927,12.52
eqmarl,339,14.2,4.28485705712571,12.660000000000002
eqmarl,340,13.3,5.78013840664737,12.600000000000001
eqmarl,341,10.8,4.621688003316538,12.480000000000002
eqmarl,342,14.2,3.893584466786357,12.790000000000001
eqmarl,343,14.8,3.815756805667782,13.080000000000002
eqmarl,344,12.6,5.238320341483519,13.030000000000001
eqmarl,345,15.7,3.7696153649941526,13.49
eqmarl,346,13.5,4.4328320518603,13.48
eqmarl,347,13.7,4.337049688440288,13.52
eqmarl,348,13.1,5.974110812497539,13.590000000000002
eqmarl,349,11.3,6.466065264130884,13.3
eqmarl,350,14.3,5.496362433464518,13.400000000000002
eqmarl,351,12.8,5.2687759489277965,13.600000000000001
eqmarl,352,12.2,3.7894590642992836,13.4
eqmarl,353,12.7,5.020956084253276,13.19
eqmarl,354,12.1,5.7523908073078625,13.14
eqmarl,355,12.6,5.660388679233963,12.83
eqmarl,356,10.6,5.332916650389354,12.54
eqmarl,357,12.1,5.223983154643591,12.380000000000003
eqmarl,358,12.6,3.97994974842648,12.33
eqmarl,359,13.6,4.82078831727758,12.56
eqmarl,360,15.1,4.437341546466758,12.64
eqmarl,361,14.2,3.7363083384538807,12.78
eqmarl,362,14.2,3.736308338453881,12.98
eqmarl,363,13.2,5.095095681142799,13.030000000000001
eqmarl,364,13.8,5.436910887627275,13.200000000000001
eqmarl,365,13.6,5.023942674832188,13.3
eqmarl,366,11.7,6.017474553332153,13.41
eqmarl,367,13.3,6.165225056719342,13.53
eqmarl,368,14.3,4.980963762164909,13.7
eqmarl,369,14.7,5.386093203798092,13.81
eqmarl,370,12.7,4.69148164229596,13.57
eqmarl,371,13.8,4.621688003316537,13.530000000000001
eqmarl,372,14.8,5.723635208501674,13.590000000000002
eqmarl,373,15.0,2.932575659723036,13.770000000000001
eqmarl,374,14.6,3.8262252939417984,13.850000000000001
eqmarl,375,16.0,5.157518783291051,14.090000000000002
eqmarl,376,13.9,5.3188344587888805,14.31
eqmarl,377,15.1,6.7,14.490000000000002
eqmarl,378,12.6,4.94368283772331,14.32
eqmarl,379,12.3,5.692978130996113,14.080000000000002
eqmarl,380,16.4,3.6110940170535573,14.450000000000001
eqmarl,381,13.4,5.083306010855534,14.410000000000002
eqmarl,382,14.7,4.648655719667783,14.400000000000002
eqmarl,383,14.0,4.774934554525329,14.3
eqmarl,384,15.7,6.261788881781307,14.410000000000002
eqmarl,385,14.1,4.158124577258358,14.220000000000002
eqmarl,386,14.6,6.248199740725324,14.29
eqmarl,387,15.8,6.462197768561405,14.360000000000001
eqmarl,388,15.3,4.517742799230607,14.629999999999999
eqmarl,389,11.9,6.0074953183502355,14.590000000000002
eqmarl,390,14.2,4.308131845707604,14.370000000000001
eqmarl,391,13.5,6.119640512317697,14.38
eqmarl,392,14.3,4.754997371187496,14.34
eqmarl,393,13.4,5.219195340279955,14.28
eqmarl,394,14.3,4.337049688440288,14.139999999999999
eqmarl,395,12.2,5.075431016179809,13.950000000000001
eqmarl,396,14.4,5.624944444170094,13.93
eqmarl,397,15.8,4.28485705712571,13.93
eqmarl,398,15.0,5.176871642217914,13.9
eqmarl,399,15.9,4.90815647672321,14.3
eqmarl,400,14.6,5.8,14.34
eqmarl,401,14.0,6.131883886702357,14.390000000000002
eqmarl,402,17.2,3.6823905279043943,14.680000000000003
eqmarl,403,16.5,4.5661800227323495,14.990000000000004
eqmarl,404,14.4,4.758150901348128,15.0
eqmarl,405,14.7,3.4942810419312296,15.250000000000002
eqmarl,406,15.8,3.709447398198282,15.39
eqmarl,407,16.0,4.919349550499537,15.41
eqmarl,408,13.3,4.605431575867782,15.24
eqmarl,409,15.6,5.180733538795447,15.21
eqmarl,410,15.4,4.543126676640219,15.290000000000003
eqmarl,411,15.5,5.024937810560445,15.440000000000001
eqmarl,412,15.7,5.386093203798093,15.290000000000003
eqmarl,413,16.2,4.166533331199932,15.260000000000002
eqmarl,414,14.4,5.083306010855534,15.260000000000003
eqmarl,415,14.8,5.114684741017769,15.270000000000001
eqmarl,416,16.6,2.835489375751565,15.35
eqmarl,417,15.1,3.7,15.26
eqmarl,418,14.8,5.173006862551025,15.410000000000002
eqmarl,419,16.3,4.473253849269009,15.480000000000002
eqmarl,420,15.0,3.63318042491699,15.440000000000001
eqmarl,421,14.8,4.237924020083418,15.370000000000003
eqmarl,422,13.3,5.23545604508337,15.130000000000003
eqmarl,423,16.2,6.063002556489648,15.130000000000003
eqmarl,424,17.0,3.9496835316262997,15.39
