network_seed,quantum_target_iteration,classical_target_iteration,quantum_target_steps,classical_target_steps,quantum_time_s,classical_time_s,speedup_classical_over_quantum,quantum_favorable,agents,entanglement_rate_hz,p_success,base_latency_s,distance_km,memory_t2_s,quantum_channel_capacity,quantum_environment_steps,quantum_training_iterations,quantum_simulated_wall_time_s,quantum_compute_time_s,quantum_entanglement_generation_time_s,quantum_quantum_transmission_time_s,quantum_classical_communication_time_s,quantum_classical_bytes_transmitted,quantum_qubits_transmitted,quantum_entangled_states_generated,quantum_entangled_pairs_generated,quantum_entangled_resources_successfully_used,quantum_failed_quantum_transmissions,quantum_retries,quantum_states_discarded_memory_expiration,quantum_quantum_link_busy_time_s,quantum_quantum_link_utilization,quantum_usable,classical_environment_steps,classical_training_iterations,classical_simulated_wall_time_s,classical_compute_time_s,classical_entanglement_generation_time_s,classical_quantum_transmission_time_s,classical_classical_communication_time_s,classical_classical_bytes_transmitted,classical_qubits_transmitted,classical_entangled_states_generated,classical_entangled_pairs_generated,classical_entangled_resources_successfully_used,classical_failed_quantum_transmissions,classical_retries,classical_states_discarded_memory_expiration,classical_quantum_link_busy_time_s,classical_quantum_link_utilization,classical_usable
202,482,1581,24150,79100,24197.142780928,838.7080576,0.03466145012216332,False,2,10,0.95,0.00025,10.0,1.0,8,24150,483,24197.142780928,253.57500000000002,23759.4,33.888600000000004,150.279180928,29497616,903688,237594,237594,193200,45501,44394,0,33.888600000000004,0.001400520727046779,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,24170.265539264004,838.7080576,0.0346999935204493,False,2,10,0.95,0.00025,10.0,1.0,8,24150,483,24170.265539264004,253.57500000000002,23732.7,33.8532,150.13733926400002,29467408,902744,237327,237327,193200,45246,44127,0,33.8532,0.001400613491192569,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,19733.1674736,838.7080576,0.04250245474894311,False,2,10,1.0,0.00025,10.0,1.0,8,24150,483,19733.1674736,253.57500000000002,19320.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0014685934246881993,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,19733.1674736,838.7080576,0.04250245474894311,False,2,10,1.0,0.00025,10.0,1.0,8,24150,483,19733.1674736,253.57500000000002,19320.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0014685934246881993,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,19733.1674736,838.7080576,0.04250245474894311,False,2,10,1.0,0.00025,10.0,1.0,8,24150,483,19733.1674736,253.57500000000002,19320.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.0014685934246881993,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,22390.536689856002,838.7080576,0.03745814891431233,False,2,100,0.55,0.00025,10.0,1.0,8,24150,483,22390.536689856002,253.57500000000002,21091.09,205.9944,839.8772898560001,176361232,5493176,2109109,2109109,193200,2472685,1915909,0,205.9944,0.009200065315688724,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,22511.554094592,838.7080576,0.037256781743090966,False,2,100,0.55,0.00025,10.0,1.0,8,24150,483,22511.554094592,253.57500000000002,21206.53,207.1083,844.3407945920001,177311824,5522882,2120653,2120653,193200,2486506,1927453,0,207.1083,0.009200088946757971,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,22392.943116672002,838.7080576,0.037454123525887256,False,2,100,0.55,0.00025,10.0,1.0,8,24150,483,22392.943116672002,253.57500000000002,21093.33,206.02770000000004,840.010416672,176389584,5494062,2109333,2109333,193200,2472089,1916133,0,206.02770000000004,0.00920056371896056,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,8760.506403584,838.7080576,0.09573739450231748,False,2,100,0.7,0.00025,10.0,1.0,8,24150,483,8760.506403584,253.57500000000002,8042.58,89.84880000000001,374.50260358400004,77250448,2395964,804258,804258,193200,719181,611058,0,89.84880000000001,0.010256119436570708,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,8799.752538687999,838.7080576,0.09531041400455646,False,2,100,0.7,0.00025,10.0,1.0,8,24150,483,8799.752538687999,253.57500000000002,8079.82,90.24960000000002,376.10793868800005,77592336,2406648,807982,807982,193200,722988,614782,0,90.24960000000002,0.010255924766431649,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,8761.627728,838.7080576,0.09572514190710203,False,2,100,0.7,0.00025,10.0,1.0,8,24150,483,8761.627728,253.57500000000002,8043.61,89.86710000000001,374.57562800000005,77266000,2396450,804361,804361,193200,718858,611161,0,89.86710000000001,0.010256895498174037,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,4209.053261024,838.7080576,0.1992628758981194,False,2,100,0.85,0.00025,10.0,1.0,8,24150,483,4209.053261024,253.57500000000002,3701.65,47.801700000000004,206.026561024,41370128,1274704,370165,370165,193200,191438,176965,0,47.801700000000004,0.011356876959159828,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,4220.754075968,838.7080576,0.19871047744179415,False,2,100,0.85,0.00025,10.0,1.0,8,24150,483,4220.754075968,253.57500000000002,3712.68,47.935500000000005,206.563575968,41484496,1278278,371268,371268,193200,192388,178068,0,47.935500000000005,0.011357093812438324,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,4209.58132656,838.7080576,0.19923787962195716,False,2,100,0.85,0.00025,10.0,1.0,8,24150,483,4209.58132656,253.57500000000002,3702.13,47.8113,206.06502656000004,41378320,1274960,370213,370213,193200,191310,177013,0,47.8113,0.011357732822107182,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,2810.6015064959997,838.7080576,0.2984087412112805,False,2,100,0.95,0.00025,10.0,1.0,8,24150,483,2810.6015064959997,253.57500000000002,2373.06,33.8484,150.118106496,29463312,902616,237306,237306,193200,45318,44106,0,33.8484,0.01204311600978222,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,2813.6827809280003,838.7080576,0.2980819526938214,False,2,100,0.95,0.00025,10.0,1.0,8,24150,483,2813.6827809280003,253.57500000000002,2375.94,33.888600000000004,150.279180928,29497616,903688,237594,237594,193200,45501,44394,0,33.888600000000004,0.012044214873726089,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,2810.8355392639996,838.7080576,0.29838389542335536,False,2,100,0.95,0.00025,10.0,1.0,8,24150,483,2810.8355392639996,253.57500000000002,2373.27,33.8532,150.13733926400002,29467408,902744,237327,237327,193200,45246,44127,0,33.8532,0.012043820966083365,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,2345.1674736,838.7080576,0.3576324791476504,False,2,100,1.0,0.00025,10.0,1.0,8,24150,483,2345.1674736,253.57500000000002,1932.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.01235732642816917,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,2345.1674736,838.7080576,0.3576324791476504,False,2,100,1.0,0.00025,10.0,1.0,8,24150,483,2345.1674736,253.57500000000002,1932.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.01235732642816917,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,2345.1674736,838.7080576,0.3576324791476504,False,2,100,1.0,0.00025,10.0,1.0,8,24150,483,2345.1674736,253.57500000000002,1932.0,28.980000000000004,130.61247360000002,25309200,772800,193200,193200,193200,0,0,0,28.980000000000004,0.01235732642816917,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,3408.555689856,838.7080576,0.24605966101596322,False,2,1000,0.55,0.00025,10.0,1.0,8,24150,483,3408.555689856,253.57500000000002,2109.109,205.9944,839.8772898560001,176361232,5493176,2109109,2109109,193200,2472685,1915909,0,205.9944,0.06043451207590585,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
202,482,1581,24150,79100,3425.677094592,838.7080576,0.24482986412351587,False,2,1000,0.55,0.00025,10.0,1.0,8,24150,483,3425.677094592,253.57500000000002,2120.653,207.1083,844.3407945920001,177311824,5522882,2120653,2120653,193200,2486506,1927453,0,207.1083,0.06045762466256813,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
303,482,1581,24150,79100,3408.9461166720002,838.7080576,0.24603147978730525,False,2,1000,0.55,0.00025,10.0,1.0,8,24150,483,3408.9461166720002,253.57500000000002,2109.333,206.02770000000004,840.010416672,176389584,5494062,2109333,2109333,193200,2472089,1916133,0,206.02770000000004,0.06043735892227465,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
101,482,1581,24150,79100,1522.1844035840002,838.7080576,0.5509897852226395,False,2,1000,0.7,0.00025,10.0,1.0,8,24150,483,1522.1844035840002,253.57500000000002,804.258,89.84880000000001,374.50260358400004,77250448,2395964,804258,804258,193200,719181,611058,0,89.84880000000001,0.05902622559293737,True,79100,1582,838.7080576,791.0,0.0,0.0,47.7080576,31007200,0,0,0,0,0,0,0,0.0,0.0,True
